"Date","Application","RevenueType","Appstore","Country","Metric","Currency","Value"
"2014-02-24","App1","share","All Appstores","All Countries","One-Off Revenue",2,7
"2014-02-25","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-02-26","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-02-27","App1","share","All Appstores","All Countries","One-Off Revenue",2,6.64
"2014-02-28","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-01","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-02","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-03","App1","share","All Appstores","All Countries","One-Off Revenue",2,3.5
"2014-03-04","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-05","App1","share","All Appstores","All Countries","One-Off Revenue",2,3.75
"2014-03-06","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-07","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-08","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-09","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-10","App1","share","All Appstores","All Countries","One-Off Revenue",2,3.5
"2014-03-11","App1","share","All Appstores","All Countries","One-Off Revenue",2,3.5
"2014-03-12","App1","share","All Appstores","All Countries","One-Off Revenue",2,3.02
"2014-03-13","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-14","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-15","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-16","App1","share","All Appstores","All Countries","One-Off Revenue",2,3.41
"2014-03-17","App1","share","All Appstores","All Countries","One-Off Revenue",2,10.02
"2014-03-18","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-19","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-20","App1","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-21","App1","share","All Appstores","All Countries","One-Off Revenue",2,7
"2014-03-22","App1","share","All Appstores","All Countries","One-Off Revenue",2,3
"2014-03-23","App1","share","All Appstores","All Countries","One-Off Revenue",2,3.5
"2014-02-24","App2","share","All Appstores","All Countries","One-Off Revenue",2,2.25
"2014-02-25","App2","share","All Appstores","All Countries","One-Off Revenue",2,2.1
"2014-02-26","App2","share","All Appstores","All Countries","One-Off Revenue",2,2.1
"2014-02-27","App2","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-02-28","App2","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-01","App2","share","All Appstores","All Countries","One-Off Revenue",2,2.1
"2014-03-02","App2","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-03","App2","share","All Appstores","All Countries","One-Off Revenue",2,6.46
"2014-03-04","App2","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-05","App2","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-06","App2","share","All Appstores","All Countries","One-Off Revenue",2,2.25
"2014-03-07","App2","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-08","App2","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-09","App2","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-10","App2","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-11","App2","share","All Appstores","All Countries","One-Off Revenue",2,2.27
"2014-03-12","App2","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-13","App2","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-14","App2","share","All Appstores","All Countries","One-Off Revenue",2,2.1
"2014-03-15","App2","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-16","App2","share","All Appstores","All Countries","One-Off Revenue",2,2.01
"2014-03-17","App2","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-18","App2","share","All Appstores","All Countries","One-Off Revenue",2,2.11
"2014-03-19","App2","share","All Appstores","All Countries","One-Off Revenue",2,2.01
"2014-03-20","App2","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-21","App2","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-22","App2","share","All Appstores","All Countries","One-Off Revenue",2,2.1
"2014-02-26","App3","share","All Appstores","All Countries","One-Off Revenue",2,3.13
"2014-02-27","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-02-28","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-01","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-02","App3","share","All Appstores","All Countries","One-Off Revenue",2,3.77
"2014-03-03","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-04","App3","share","All Appstores","All Countries","One-Off Revenue",2,3.42
"2014-03-05","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-06","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-07","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-08","App3","share","All Appstores","All Countries","One-Off Revenue",2,3.5
"2014-03-09","App3","share","All Appstores","All Countries","One-Off Revenue",2,3.5
"2014-03-10","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-11","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-12","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-13","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-14","App3","share","All Appstores","All Countries","One-Off Revenue",2,7.29
"2014-03-15","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-16","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-17","App3","share","All Appstores","All Countries","One-Off Revenue",2,3.5
"2014-03-18","App3","share","All Appstores","All Countries","One-Off Revenue",2,3.5
"2014-03-19","App3","share","All Appstores","All Countries","One-Off Revenue",2,3.03
"2014-03-20","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-21","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-22","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-23","App3","share","All Appstores","All Countries","One-Off Revenue",2,3.67
"2014-02-27","App4","share","All Appstores","All Countries","One-Off Revenue",2,3.14
"2014-02-28","App4","share","All Appstores","All Countries","One-Off Revenue",2,3.5
"2014-03-01","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-02","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-03","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-04","App4","share","All Appstores","All Countries","One-Off Revenue",2,7
"2014-03-05","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-06","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-07","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-08","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-09","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-10","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-11","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-12","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-13","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-14","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-15","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-16","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-17","App4","share","All Appstores","All Countries","One-Off Revenue",2,7.3
"2014-03-18","App4","share","All Appstores","All Countries","One-Off Revenue",2,3.5
"2014-03-19","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-20","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-21","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-22","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-23","App4","share","All Appstores","All Countries","One-Off Revenue",2,7